Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2015;693.020.198;354.559.030;99.102.468;107.604.913;22.425.717;5.419.675;10.116.481;3.739.946;3.319.545;16.705.833;70.026.590
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2015;659.318.979;296.242.674;120.354.320;100.916.480;80.136.020;28.058.797;9.154.147;4.281.778;3.226.658;16.948.105;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2015;558.032.367;150.801.979;123.103.071;22.453.791;14.705.951;8.467.460;3.935.715;3.134.817;3.231.648;13.374.531;214.823.404
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2015;434.416.244;43.243.650;127.496.912;61.678.491;43.061.085;7.266.722;3.693.874;2.875.249;2.032.289;12.537.422;130.530.550
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;09/2015;383.632.101;90.838.124;174.382.405;106.029.024;9.691.484;1.900.792;510.937;54.261;75.147;149.926;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2015;261.195.237;80.848.364;90.350.156;15.286.954;10.580.925;7.334.541;2.827.472;2.185.414;1.662.804;7.711.206;42.407.400
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2015;74.304.360;2.437.967;3.565.398;2.589.948;469.434;993.959;208.545;531.847;9;132.202;63.375.051
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2015;71.099.571;30.358.715;15.944.942;6.466.701;1.498.751;1.024.588;448.103;794.666;654.782;2.978.780;10.929.543
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2015;54.810.228;27.215.647;7.200.264;3.046.055;1.081.085;405.280;347.138;179.318;134.074;832.107;14.369.261
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2015;52.075.378;2.630.607;23.973.386;8.277.348;9.122.894;1.114.624;528.830;418.145;904.265;2.196.423;2.908.857
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2015;30.364.596;5.432.348;13.938.422;5.624.321;2.002.202;1.024.007;286.946;295.678;136.673;1.353.193;270.807
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2015;19.786.559;7.012.035;7.583.035;2.610.696;622.601;916.259;179.177;158.041;136.025;568.689;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2015;19.636.407;493.610;13.496.984;2.286.367;1.673.827;647.419;361.446;122.634;88.693;465.428;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2015;17.704.331;0;11.679.413;2.885.832;1.294.436;563.683;283.761;206.136;179.674;611.395;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2015;16.175.580;1.877.446;4.286.903;8.367.689;999.180;165.380;137.087;86.515;73.196;182.184;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2015;14.088.367;13.691.969;368.016;12.844;1.950;3.020;7.467;509;493;2.100;0
