Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2014;652.818.541;355.300.299;81.341.040;107.527.321;20.156.032;3.224.805;9.099.985;3.431.128;2.657.712;14.458.701;55.621.520
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2014;601.120.969;261.383.612;156.833.731;69.282.256;62.272.015;23.037.378;6.819.016;2.765.642;2.230.116;16.497.203;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2014;539.634.479;154.174.171;127.616.016;24.756.787;12.948.537;6.253.128;3.334.379;3.114.465;2.420.908;12.157.247;192.858.839
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2014;389.843.340;39.657.984;130.676.642;63.941.691;42.733.225;5.744.054;3.778.166;2.213.558;1.880.859;11.189.798;88.027.362
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2014;333.442.254;94.146.942;142.988.750;86.052.418;8.654.749;791.916;532.334;5.624;22.474;247.048;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2014;245.335.852;81.650.030;82.523.561;18.577.735;9.093.981;7.572.458;3.275.419;2.006.154;1.822.757;7.519.414;31.294.343
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2014;66.305.987;28.152.164;17.552.194;5.852.597;946.116;502.597;333.098;594.759;572.093;2.499.037;9.301.331
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2014;55.518.539;31.337.663;8.774.890;3.145.788;1.139.042;216.234;182.178;91.529;49.811;755.459;9.825.944
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2014;54.814.035;3.360.810;26.969.181;8.773.461;7.120.297;1.160.899;697.631;397.154;1.341.324;1.740.276;3.253.002
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2014;29.225.984;5.216.744;13.147.765;6.428.405;1.787.903;820.604;356.600;206.341;90.812;972.113;198.696
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2014;22.320.072;451.791;15.812.773;2.986.755;1.584.162;553.136;335.413;90.697;71.275;434.070;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2014;18.798.959;2.560.742;4.540.857;2.956.240;864.490;652.580;1.354.206;101.579;38.805;46.287;5.683.174
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2014;17.584.372;0;12.094.455;2.735.727;1.237.362;503.052;198.463;157.626;111.765;545.922;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2014;16.699.646;4.966.068;6.623.073;2.284.744;689.607;931.627;120.471;88.752;137.454;857.852;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2014;13.431.066;12.972.822;416.927;5.100;7.400;5.218;8.426;342;0;14.832;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2014;13.213.985;4.852.000;4.452.345;2.334.791;145.343;420.094;187.804;86.388;120.102;615.118;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2014;12.056.051;11.130;10.449.828;548.445;820.452;49.139;31.288;23.726;21.146;100.898;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2014;11.947.871;482.820;2.825.988;4.164.796;1.047.561;186.426;33.711;13.329;8.031;29.341;3.155.867
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2014;11.169.546;5.178.036;4.979.350;370.822;193.179;110.948;50.806;17.690;130.797;137.919;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2014;10.949.638;202.513;3.773.764;5.837.337;788.199;99.180;87.662;28.828;59.556;72.598;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2014;10.923.758;1.134.979;2.801.309;6.239.579;461.627;104.314;265;24.261;6.093;151.332;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;12/2014;10.558.071;3.917;4.762.833;3.911.888;1.213.908;255.080;50.818;61.228;47.573;239.741;11.086
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2014;9.774.254;0;7.224.486;1.126.319;500.375;126.888;122.267;109.429;109.631;454.860;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;12/2014;9.700.247;3.128.847;2.232.608;747.356;956.570;544.189;450.644;425.658;150.539;573.494;490.340
BRB;31.976;b1;C;1;;199;BRASILIA;DF;12/2014;9.082.810;5.481.649;973.389;1.537.934;357.907;236.101;125.321;49.239;47.174;274.097;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2014;9.023.416;5.650.722;2.889.840;363.837;79.387;11.484;6.373;8.043;947;12.784;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2014;8.775.527;1.527.081;6.170.843;494.148;182.924;77.366;46.286;47.449;39.776;189.654;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2014;8.719.349;725.867;5.193.099;1.119.495;378.373;366.069;207.627;144.438;189.613;394.769;0
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2014;7.968.304;1.302.924;4.706.024;1.704.604;196.580;9.879;6.800;4.858;4.480;32.155;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;12/2014;6.665.049;551.385;2.800.185;1.521.512;1.237.576;388.280;58.971;15.988;4.393;86.758;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;12/2014;6.477.315;646.338;1.686.689;1.772.615;995.359;103.685;60.324;74.999;12.592;8.115;1.116.599
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2014;6.470.801;882.629;866.687;861.366;176.877;60.836;0;0;0;31.707;3.590.699
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;12/2014;5.452.623;104.144;3.104.826;1.653.471;445.982;30.862;57.991;7.087;7.237;41.023;0
