Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2014;652.818.541;383.469.249;45.152.208;24.907.219;1.542.160;346.283;106.568.274;0;28.136.518;1.812.075;182.372;0;1.184;3.034.363;2.045.116;55.621.520
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2014;601.120.969;142.813.807;377.916.352;24.616.532;0;311;38.274.041;0;0;643.334;1.504.385;0;68;14.015.998;1.336.143;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2014;539.634.479;254.502.472;36.083.264;11.986.871;1.856.199;6.149.288;28.359.594;14.233;162.739;480.942;239.993;0;11.076;16.442;6.912.526;192.858.839
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2014;389.843.340;180.995.530;37.279.470;35.138.266;5.368;8.559.126;29.313.298;0;599.697;3.159.324;0;0;20.656;0;6.745.245;88.027.362
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2014;333.442.254;85.731.665;14.338;219.272.638;7.332.228;13.331.198;0;5.529.415;0;2.087;2.228.684;0;0;0;0;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2014;245.335.852;150.225.362;41.575.546;3.931.849;51.225;290.906;15.767.213;49.178;0;214.304;187.287;0;19.511;14.464;1.714.663;31.294.343
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2014;66.305.987;30.062.830;6.917.139;559.528;79.432;6.683.234;8.155.291;0;0;119.706;81.986;0;0;3.066.184;1.279.326;9.301.331
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2014;55.518.539;27.048.969;370.651;1.823.640;0;1.455.022;14.722.653;10.244;0;241.699;2.780;0;6.290;0;10.646;9.825.944
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2014;54.814.035;42.191.530;164.899;1.281.866;40.085;2.603.732;4.796.595;11.228;0;0;68.045;0;0;0;403.052;3.253.002
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2014;29.225.984;16.580.527;4.573.571;401.519;0;1.432.172;5.683.654;0;0;38.353;0;0;0;95.698;221.794;198.696
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2014;22.320.072;18.035.944;0;1.233.032;0;0;3.040.615;0;0;0;0;0;0;0;10.481;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2014;18.798.959;2.091.370;106.695;1.549.466;0;0;7.821.103;0;0;454.665;1.037.573;0;12.937;41.970;7;5.683.174
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2014;17.584.372;13.516.931;734.106;0;0;0;1.955.938;0;0;696.254;0;0;0;494.151;186.993;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2014;16.699.646;12.573.445;857.735;282.704;0;35.472;2.856.432;0;0;0;0;0;0;0;93.858;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2014;13.431.066;11.698.746;0;79.910;0;1.297.264;347.227;0;0;0;0;0;0;0;7.919;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2014;13.213.985;7.159.632;42.646;1.350.979;0;1.777.945;792.700;0;17;1.914.142;0;0;130.412;0;45.512;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2014;12.056.051;12.052.975;0;0;0;0;0;0;0;0;0;0;0;0;3.076;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2014;11.947.871;3.615.816;846;242.394;0;18.570;4.334.923;20.542;0;8.523;28.493;0;0;521.871;25;3.155.867
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2014;11.169.546;7.985.248;5.426;2.336.500;0;0;0;0;0;435.303;2.511;0;866;403.200;491;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2014;10.949.638;9.742.729;0;1.206.896;0;0;0;0;0;0;0;0;0;0;14;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2014;10.923.758;9.585.878;310;100.250;0;0;1.215.864;0;0;0;19.233;0;0;2.223;1;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;12/2014;10.558.071;6.252.422;0;19.794;0;15.167;2.300.102;1.148.232;104.358;0;0;0;1.162;623.654;82.094;11.086
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2014;9.774.254;7.774.543;0;0;0;27.650;1.561.491;0;48;0;0;0;0;82.647;327.874;0
BIC;32.119;b1;C;3;;199;SAO PAULO;SP;12/2014;9.700.247;2.081.275;80.190;0;0;0;5.764.324;0;1.226.670;26.576;0;0;0;0;30.872;490.340
