Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2017;39.826.561;950.493;19.959.316;1.746.587;553.064;3.322.351;66.358.372;-28.635.363;-4.035.743;-1.604.800;0;-8.299.129;-42.575.035;23.783.337;9.675.342;5.803.289;-9.727.803;-10.243.460;-3.080.574;3.062.160;12.882.569;-17.654.115;-9.282.593;14.500.744;332.703;14.833.447;-1.829.563;-2.837.059;10.166.826;-3.528.158
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2017;38.922.992;118.104;22.397.202;-270.000;467.108;1.978.039;63.613.445;-36.221.668;-4.483.255;-69.586;0;-12.103.172;-52.877.682;10.735.763;6.434.786;5.020.891;-9.954.345;-8.242.088;-2.174.305;2.776.013;10.852.548;-7.433.585;-2.720.084;8.015.679;68.210;8.083.889;-1.303.591;-768.938;6.011.360;-1.739.871
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2017;42.850.075;0;16.235.634;-1.082.928;90.200;4.311.489;62.404.470;-28.597.332;-8.439.658;0;0;-9.009.603;-46.046.593;16.357.877;9.634.827;3.176.726;-11.158.609;-5.441.482;-1.837.042;629.390;10.388.576;-11.331.764;-5.939.379;10.418.499;-389.513;10.028.986;-630.710;-1.010.613;8.387.663;-1.276.012
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2017;35.393.255;876.295;18.537.535;1.119.088;986.034;2.252.015;59.164.221;-27.818.257;-1.683.161;-750.334;0;-10.371.006;-40.622.758;18.541.462;6.178.899;4.926.467;-10.003.885;-10.989.654;-2.253.205;4.346.275;3.180.248;-7.534.287;-12.149.142;6.392.321;-403.590;5.988.731;712.535;0;6.701.266;-4.394.791
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2017;23.154.225;958.848;10.262.539;632.743;685.478;2.427.467;38.121.300;-16.091.444;-1.124.498;-798.431;0;-5.600.303;-23.614.676;14.506.624;4.852.664;2.199.812;-3.730.627;-5.400.053;-1.669.650;370.592;8.249.063;-11.496.546;-6.624.744;7.881.880;-212.380;7.669.500;-1.761.627;-784.513;5.123.360;-4.085.455
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2017;21.314.131;0;8.355.995;-1.102.626;0;0;28.567.499;-1.006.599;-22.720.944;0;-2.508;-1.236.798;-24.966.847;3.600.652;179.956;0;-805.809;-191.388;-257.347;2.541.080;502.193;-552.519;1.416.167;5.016.819;40.358;5.057.177;46.696;-265.377;4.838.496;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2017;3.698.988;439.947;3.673.395;-85.127;89.857;126.081;7.943.142;-4.976.896;-325.142;-367.109;0;-205.620;-5.874.767;2.068.375;444.350;186.514;-1.200.263;-893.036;-183.529;394.000;861.862;-429.182;-819.285;1.249.091;26.376;1.275.466;-207.643;0;1.067.823;-318.133
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2017;4.998.164;99.241;1.867.381;-226.516;40.925;7.933;6.787.130;-3.597.926;-153.492;-79.352;0;-1.453.403;-5.284.173;1.502.957;242.403;461.994;-529.441;-657.180;-191.788;160.525;679.531;-1.039.069;-873.025;629.932;20.153;650.084;-272.916;-67.505;309.664;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2017;3.309.187;16.075;999.945;-41.799;28.404;444.381;4.756.193;-1.906.365;-202.207;-12.433;0;-148.093;-2.269.098;2.487.095;76.123;478.834;-916.703;-699.254;-175.224;150.252;275.642;-888.359;-1.698.689;788.406;255.824;1.044.230;-233.499;-73.900;736.831;-237.256
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2017;604.319;0;2.080.386;1.015.101;161.056;53.152;3.914.014;-2.446.653;-1.607.223;0;0;337.434;-3.716.442;197.572;757.264;7.022;-280.957;-2.196.551;-184.084;391.596;2.150.784;-586.562;58.513;256.084;-19.295;236.789;1.211.072;-378.587;1.069.275;-599.929
