Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2017;306.013.138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;527.888;14.666.812;29.990.607;70.216.943;52.065.661;112.563.724;24.906.645;304.938.280;0;46.216;130.622;329.610;257.976;310.434;0;1.074.858;0;0;0;0;0;0;0;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2017;301.992.985;3.540.596;4.872.892;11.793.471;17.786.048;5.756.370;2.333.006;1.111.653;47.194.036;244.416;596.738;2.147.601;5.837.932;5.002.596;21.981.258;1.814.034;37.624.575;228.195;1.223.935;1.072.085;76.360;0;0;88.754;2.689.328;184.887;4.738.400;1.912.000;513.453;69.387;0;0;7.418.127;692.856;7.122.472;14.617.656;12.195.012;11.118.584;669.296;0;46.415.876;2.495.943;4.224.586;4.113.320;12.742.289;9.654.341;5.531.757;1.103.972;39.866.207;701.835;4.195.506;10.165.543;14.727.239;8.127.803;14.495.660;7.429.051;59.842.637;83.122;2.166.037;10.467.687;7.202.005;1.189.255;1.638.542;7.606;22.754.255;437.593;409.525;1.667.540;1.955.346;53.512;1.420;31.856;4.556.791;33.631.151
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2017;292.809.505;1.532.812;6.769.019;11.594.622;13.527.130;2.428.131;563.150;425;36.415.290;16.443;407.454;1.008.817;1.222.212;232.803;30.666;0;2.918.395;623.401;6.880.533;143.106;126.624;0;0;0;7.773.663;46.936;10.330.068;3.087.811;102.446;35.185;27.025;0;13.629.472;17.596;3.718.161;7.291.064;3.739.749;723.360;2.604.628;0;18.094.558;712.828;2.242.207;3.407.118;3.602.244;1.392.352;1.029.512;0;12.386.261;180.568;2.246.015;6.407.131;9.823.248;4.159.218;3.402.619;251.744;26.470.543;1.135;521.763;3.619.291;758.185;216.205;221.219;225;5.338.023;75.213;606.945;2.238.952;1.558.536;268.971;68.104;294;4.817.015;164.966.284
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2017;233.990.570;896.567;7.413.819;13.932.696;14.274.197;2.955.003;557.208;0;40.029.490;203.665;1.555.958;2.907.275;2.789.981;435.730;94.836;42;7.987.486;475.123;6.452.634;960.170;67;0;0;0;7.887.994;86.686;11.607.688;1.549.498;372.688;9.907;3.953;0;13.630.421;200.299;7.266.018;8.923.931;5.298.632;1.012.530;3.976.318;0;26.677.728;1.240.662;3.399.446;3.669.312;3.498.134;1.104.350;798.492;282.983;13.993.380;70.892;2.577.059;7.640.963;9.288.486;4.709.554;7.917.652;500.196;32.704.803;4.197;270.445;2.819.040;1.532.357;325.280;130.265;0;5.081.584;99.295;326.541;1.796.650;5.133.473;1.575.508;80.313;360;9.012.140;76.985.544
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2017;172.960.684;2.413.369;3.869.738;11.315.019;22.004.976;4.292.174;1.797.531;5.465;45.698.272;70.973;154.533;418.389;652.102;150.575;22.554;212;1.469.339;505.949;525.840;1.440.771;113.003;0;0;0;2.585.563;45.802;566.515;29.952;0;0;0;0;642.269;158.941;1.780.244;2.220.776;859.212;3.057.625;0;0;8.076.798;2.308.719;957.498;1.229.955;1.965.472;973.601;725.349;1.544;8.162.138;444.726;4.748.329;10.964.801;20.148.615;12.643.941;34.269.289;8.751.244;91.970.946;9.020;465.822;1.995.109;86.658;11.280;6.223;0;2.574.111;202.420;2.906.293;4.050.697;4.141.612;255.951;224.146;131;11.781.249;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2017;119.509.831;1.662.857;3.929.256;7.599.642;9.386.424;2.182.001;922.035;329.347;26.011.563;85.799;853.820;1.764.936;2.022.357;444.549;379.797;269;5.551.526;300.430;3.542.887;1.310.552;332.897;116.204;57.145;3.686;5.663.802;75.093;15.802.137;6.342.741;465.296;43.330;5.154;4.135;22.737.887;187.834;4.099.278;5.518.356;2.214.849;350.109;527.382;0;12.897.808;717.327;1.241.469;1.573.896;2.337.438;1.061.166;259.613;153.975;7.344.885;60.024;956.935;4.434.812;3.512.408;1.662.161;2.932.943;1.971.660;15.530.944;8.549;1.156.866;3.818.858;1.127.421;177.272;96.552;1.829;6.387.347;175.980;1.078.616;2.143.703;643.517;35.038;6.648;912;4.084.414;13.299.656
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2017;46.439.420;45.610;3.144.272;4.246.543;3.662.618;617.660;108.193;0;11.824.895;8.312;691.200;999.857;737.753;88.416;31.436;0;2.556.975;23.983;850.672;306.851;19.967;0;0;0;1.201.473;539;5.190.569;1.308.340;911;0;0;0;6.500.360;5.591;1.807.998;2.501.937;2.134.962;463.465;130.000;0;7.043.953;13.323;113.348;711.779;82.834;15.647;0;0;936.930;7.392;324.061;2.053.841;1.300.383;550.937;262.663;0;4.499.277;915;326.480;914.538;219.796;70.861;32.335;0;1.564.924;11.072;38.523;145.524;116.536;13.739;0;0;325.395;9.985.238
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2017;13.234.121;449.426;441.286;721.640;585.996;201.683;824.850;0;3.224.882;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.278;212.352;130.520;203.628;14.337;1.298;0;595.413;35.585;73.517;802.527;180.686;23.693;33.827;0;1.149.836;69.568;9.338;145.389;58.056;5.784;3.020;0;291.154;820;15.735;38.192;128.202;140.337;869.768;1.631.558;2.824.611;0;0;2.009;0;0;0;0;2.009;0;0;0;0;0;0;0;0;5.146.217
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2017;13.208.589;63.997;337.245;659.577;861.941;369.065;63.611;0;2.355.436;28.826;200.240;458.311;520.542;32.942;2;0;1.240.864;0;0;0;0;0;0;0;0;0;1.417.084;123.124;69.211;74.852;53.277;0;1.737.548;24.371;311.902;701.160;1.364.236;217.399;9.259;0;2.628.326;0;335;34.334;15.868;618;5.358;674.314;730.828;2.585;172.620;750.701;782.231;436.359;321.708;0;2.466.204;0;47.703;131.868;133.367;46.802;1.703;0;361.442;0;0;0;0;0;0;0;0;1.687.942
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2017;12.748.935;109.044;793.005;1.270.963;1.423.226;155.108;20.888;0;3.772.234;0;1.180;107.450;178.507;12.337;0;0;299.474;2.334;102.546;42.597;0;0;0;0;147.477;86;378.794;189.735;11.721;5.492;0;0;585.829;13.736;357.014;1.104.186;729.328;58.954;0;0;2.263.218;7.333;513.241;190.054;142.945;49.841;1.922;0;905.337;320;67.533;194.233;322.013;110.299;40.323;0;734.720;477;191.007;728.695;336.541;91.063;97.772;0;1.445.556;0;0;0;0;0;0;0;0;2.595.092
