Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;460.762.211;1.924.249;4.481.117;12.228.032;24.467.257;12.251.439;258.042;0;55.610.136;1.052.616;1.428.740;3.038.072;3.418.444;296.526;1;415;9.234.814;430.386;1.456.491;3.523.880;5.057.232;710.446;146;0;11.178.581;1.840.733;11.341.226;30.319.342;68.292.106;53.752.615;138.367.489;49.579.100;353.492.610;2.454.629;5.789.986;1.548.102;112.662;534;0;0;9.905.914;222.685;1.533.414;878.666;465.806;341.017;155.504;0;3.597.091;2.273.319;4.380.309;4.244.970;3.270.848;1.740.037;1.732.256;101.324;17.743.064;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;280.158.177;185.889;4.283.123;11.976.225;23.724.769;13.201.174;7.590.068;185.555;61.146.803;420.916;3.202.105;8.102.008;9.180.911;3.663.068;1.721.668;228.858;26.519.535;54.500;1.131.085;2.891.778;4.019.836;643.594;145;16.845;8.757.784;18.758;469.329;1.002.074;2.709.813;2.623.111;12.213.772;13.504.946;32.541.803;1.116.821;17.469.291;2.678.790;128.693;24;0;184.960;21.578.579;1.171.331;19.116.819;32.070.033;25.509.639;19.821.055;22.866.622;34.582;120.590.081;294.364;1.403.477;3.063.753;962.258;492.676;429.385;40.276;6.686.189;2.337.403
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;203.491.812;269.455;3.963.287;10.305.022;19.413.196;9.164.628;2.399.788;3;45.515.379;772.981;2.403.663;3.900.824;5.589.490;910.008;99.502;0;13.676.469;579.025;3.397.047;7.893.008;10.358.129;1.263.714;2.128;0;23.493.051;54.984;753.116;1.203.798;3.046.325;2.854.399;11.175.856;9.759.022;28.847.500;4.941.619;38.298.965;12.815.325;191.080;0;0;0;56.246.989;1.131;65.593;101.688;99.545;97.340;48.080;0;413.378;1.575.915;5.979.014;3.118.773;4.652.756;1.204.979;102.485;0;16.633.922;18.665.125
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;141.323.926;185.709;3.311.766;8.859.667;14.028.529;5.101.507;1.198.094;0;32.685.273;752.819;4.401.458;5.053.180;2.739.891;228.000;11.621;12;13.186.982;371.382;3.599.906;8.586.244;9.565.955;935.049;6.136;4;23.064.677;40.839;371.932;828.917;2.142.650;1.979.563;7.507.169;5.715.845;18.586.916;3.513.634;14.921.692;6.223.075;206.486;1.429;11;0;24.866.327;143.188;3.780.105;5.842.722;3.777.696;1.946.212;824.938;0;16.314.861;1.271.135;5.272.818;2.089.225;2.146.983;699.664;245.300;15.713;11.740.837;878.054
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;121.352.496;323.919;1.447.816;3.646.793;5.269.128;1.632.510;395.072;174;12.715.412;507.003;991.942;2.239.102;3.159.391;615.554;65.511;105;7.578.606;589.254;4.661.457;11.141.213;13.650.423;1.493.852;6.951;2.034;31.545.185;38.658;999.534;2.367.385;4.910.742;3.587.704;8.707.018;3.623.996;24.235.037;1.235.091;13.182.433;2.732.097;488.042;121.292;26.709;18;17.785.682;24.952;603.826;1.290.256;886.914;431.856;185.296;0;3.423.100;1.588.853;4.696.288;3.148.245;3.489.089;1.357.579;410.894;858;14.691.805;9.377.668
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;35.859.751;104.301;731.436;1.727.605;2.111.239;595.159;130.464;0;5.400.204;9.636;19.759;70.081;15.658;1.442;1.899;0;118.476;776.199;4.442.579;10.126.531;12.388.489;1.202.323;294;0;28.936.415;0;0;0;0;0;0;0;0;200.094;855.000;30.777;3;0;0;0;1.085.874;1.054;7.530;21.291;49.165;62.181;4.179;0;145.400;725;34.599;60.220;74.528;3.310;0;0;173.382;0
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;21.089.191;13.802;120.385;316.307;546.553;123.289;6.288;104;1.126.728;531.758;1.268.995;1.809.666;1.444.849;381.701;13;5.228;5.442.211;34.956;255.297;601.800;870.812;148.387;327;0;1.911.580;8.043;107.302;246.370;635.607;338.566;2.665.177;1.688.330;5.689.396;442.104;2.691.793;439.710;6;0;0;2;3.573.614;21.779;476.425;582.462;450.469;3.541;0;0;1.534.676;234.895;581.598;667.917;61.641;10.254;30.115;4.777;1.591.197;219.789
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;15.430.314;116.866;730.021;1.976.794;3.423.848;1.334.183;454.798;125;8.036.634;33.286;382.127;660.306;194.469;14.877;45.613;3;1.330.681;580;16.364;43.209;67.174;17.598;129;0;145.054;2.412;45.028;126.933;324.332;297.528;1.161.772;892.394;2.850.398;40.452;74.336;6.223;0;0;0;0;121.011;15.112;261.903;361.876;377.323;262.623;340.577;11.776;1.631.190;103.673;645.088;202.471;208.808;89.259;65.816;230;1.315.346;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;06/2015;13.555.341;41.551;441.291;1.198.099;2.180.469;1.020.191;329.912;0;5.211.513;6.304;12.443;23.591;11.238;22;0;0;53.598;191.483;652.543;1.667.291;2.932.494;469.640;788;0;5.914.239;1.460;9.306;23.360;51.103;38.379;88.332;19.153;231.092;163.774;933.522;145.904;11.899;485;4;0;1.255.587;0;0;0;0;0;0;0;0;12.965;99.992;173.506;288.414;114.401;185.634;14.401;889.313;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;06/2015;9.742.818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77.848;1.411.727;3.468.690;4.236.713;547.362;478;0;9.742.818;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;06/2015;7.722.646;410;7.279;19.318;21.400;2.009;0;0;50.417;182;367;960;895;38;0;0;2.442;61.016;1.121.796;2.728.711;3.333.157;424.295;786;0;7.669.761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;13;3;0;0;0;26;0
