Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2018;519.581.230;2.707.494;5.828.547;14.692.750;24.408.464;10.990.032;4.339.907;865;62.968.060;637.166;692.542;1.829.568;1.509.694;336;0;18.789;4.688.095;295.583;953.043;2.033.244;1.713.776;47.091;59;1.367;5.044.163;1.592.184;12.691.119;34.043.692;77.716.109;62.163.775;167.565.052;63.406.588;419.178.517;1.504.850;5.626.708;1.801.563;120.407;8.703;7.399;0;9.069.630;187.217;1.690.177;1.141.698;818.924;289.054;140.537;0;4.267.606;1.995.212;3.895.527;3.185.294;2.673.759;1.334.891;1.216.883;63.594;14.365.159;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2018;320.487.096;276.057;4.441.040;12.329.817;25.345.822;16.146.770;8.791.557;405.536;67.736.600;615.125;2.339.475;6.728.546;8.133.209;3.622.550;1.579.820;1.092.842;24.111.568;45.737;530.853;1.316.691;1.704.589;285.453;62;83.072;3.966.458;65.750;589.641;1.270.864;3.379.501;3.325.644;16.368.696;20.045.116;45.045.213;914.137;19.087.898;3.749.972;282.020;43;0;506.556;24.540.626;2.258.762;13.590.613;47.675.760;33.775.940;22.828.291;19.711.536;704.166;140.545.069;586.194;1.180.885;3.032.535;3.208.026;2.030.718;1.227.041;319.127;11.584.526;2.957.036
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2018;243.879.634;440.886;4.015.847;9.875.245;18.448.397;9.551.769;2.350.112;158;44.682.412;503.775;1.480.219;3.320.213;4.548.475;1.398.367;34.077;0;11.285.125;185.253;1.694.211;4.137.092;6.983.652;1.332.996;2.094;0;14.335.298;105.846;826.434;1.524.335;3.926.780;3.699.352;15.002.152;12.705.209;37.790.108;4.462.855;43.953.480;16.120.498;449.561;42;3;0;64.986.438;554;238.627;434.101;150.475;55.198;25.379;0;904.334;1.720.115;5.786.995;2.896.343;4.462.355;1.426.562;190.769;0;16.483.140;53.412.780
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2018;175.562.983;237.686;4.769.314;11.766.040;18.957.920;7.543.936;1.998.918;506;45.274.319;878.488;4.605.919;5.547.188;3.149.254;408.869;59.810;112;14.649.641;287.958;3.229.707;7.592.289;9.291.249;1.182.578;2.261;0;21.586.042;84.543;658.082;1.430.777;3.669.567;3.410.498;13.466.625;10.434.263;33.154.354;4.227.876;18.372.473;9.401.446;433.993;21.703;2.571;0;32.460.063;258.908;1.429.391;6.818.762;3.538.344;1.465.295;763.624;0;14.274.324;1.562.027;5.238.905;2.788.122;2.982.646;832.084;252.348;17.127;13.673.259;490.981
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2018;160.381.120;409.086;2.613.486;6.654.500;10.661.686;4.660.972;2.191.737;697;27.192.165;696.076;1.182.183;2.679.532;3.747.164;1.132.741;98.820;16.009;9.552.525;557.374;5.048.277;12.391.423;17.046.498;2.583.461;12.635;3.138;37.642.807;43.313;1.197.328;2.842.927;5.984.789;4.345.027;10.433.972;4.270.088;29.117.445;1.550.181;17.745.305;5.435.616;526.762;117.235;43.110;27;25.418.236;31.844;1.038.573;2.006.154;1.265.302;571.503;415.358;0;5.328.735;1.759.764;5.020.695;3.716.398;3.977.725;1.754.536;882.123;21.502;17.132.742;8.996.466
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2018;35.485.851;71.992;356.742;819.492;1.058.786;279.060;45.059;0;2.631.132;15.774;33.330;126.679;10.319;18;0;0;186.120;615.356;4.384.488;10.316.712;13.631.106;1.567.019;415;0;30.515.095;0;0;0;0;0;0;0;0;295.461;1.165.158;440.104;13.449;0;0;0;1.914.172;29;10.972;18.249;38.042;4.311;3.325;0;74.928;1.601;13.160;30.232;89.846;21.600;7.874;91;164.404;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2018;21.182.242;82.110;896.351;2.408.575;4.398.769;2.505.600;1.227.326;40;11.518.772;35.573;540.460;943.043;154.157;88.300;17.949;0;1.779.483;354;5.046;12.277;13.446;1.736;5;0;32.864;3.233;58.422;142.525;365.457;342.962;1.323.752;977.292;3.213.643;39.163;803.706;201.920;8.174;0;0;0;1.052.962;30.183;320.457;499.115;364.750;269.435;230.527;17.950;1.732.417;112.757;1.107.763;225.110;222.468;108.815;75.164;24;1.852.100;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2018;16.549.862;95.141;637.621;1.715.441;3.017.304;1.533.327;545.418;0;7.544.251;10.170;38.778;79.968;68.035;1.427;0;0;198.376;164.781;819.662;1.910.691;2.600.647;296.717;42;0;5.792.539;848;5.088;12.973;28.755;21.536;46.588;8.350;124.137;300.940;1.710.639;210.124;16.898;2.272;384;0;2.241.257;0;0;0;0;0;0;0;0;61.218;63.368;100.546;185.235;95.211;138.000;5.725;649.302;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2018;15.407.000;13.211;573.621;1.574.761;2.976.905;1.638.426;408.767;0;7.185.692;2.796;226.156;276.187;257.405;42.297;4.247;0;809.088;46.036;917.099;2.277.047;3.216.977;417.135;217;0;6.874.512;18;93;430;771;895;319;0;2.526;5.850;157.964;47.658;44;0;0;0;211.516;0;8.399;63.105;42.138;16.180;7.787;0;137.609;2.972;120.437;31.976;11.234;735;0;0;167.354;18.704
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2018;10.715.748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88.763;951.226;2.028.586;1.253.680;597.424;348.756;0;5.268.435;106.697;936.656;1.646.236;1.696.532;834.621;226.570;0;5.447.313;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;03/2018;9.641.241;65.511;584.686;1.633.566;2.784.593;1.175.275;183.477;0;6.427.109;8.498;43.884;83.378;18.514;0;0;0;154.274;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;152.676;2.002.229;617.533;97.166;291;0;0;2.869.896;0;0;10.619;2.095;1.048;0;0;13.762;27.841;36.496;57.196;54.065;602;0;0;176.200;0
