Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;06/2015;390.069.877;1.353.184;13.229.259;24.137.039;28.248.959;13.334.914;3.028.740;120.429;83.452.523;52.352;1.335.907;3.771.535;12.789.812;15.051.059;19.142.487;5.034.483;57.177.634;226.828;3.072.288;823.810;3.803;0;0;7.282;4.134.011;597.160;8.932.434;1.819.730;191.605;248.548;609.274;226.471;12.625.222;150.583;6.187.988;10.317.466;188.539;17.695;997;0;16.863.268;688.946;3.734.704;8.549.940;11.578.184;12.828.522;9.103.240;90.727;46.574.263;549.258;7.564.376;18.241.548;25.069.947;11.939.766;17.542.620;8.723.897;89.631.413;99.046;3.788.379;6.926.636;2.051.838;1.201.055;2.117.656;15.849;16.200.458;5.132;171.134;1.286.530;3.360.546;517.047;25.870;0;5.366.259;58.044.825
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;06/2015;356.971.822;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;259.329;12.249.093;35.028.821;81.777.179;67.222.624;134.807.605;25.028.446;356.373.098;332;28.225;83.524;194.982;135.937;155.723;0;598.724;0;0;0;0;0;0;0;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;06/2015;322.595.051;1.515.321;8.392.823;13.424.477;12.825.861;3.515.231;534.460;5.965;40.214.137;55.810;1.318.553;4.803.239;5.077.238;1.174.716;40.886;0;12.470.442;800.329;9.588.351;432.855;0;0;0;0;10.821.535;167.409;11.315.322;1.770.242;58.841;1.180;0;0;13.312.994;83.706;2.518.173;4.440.075;3.360.193;866.875;398.149;0;11.667.171;1.172.909;2.329.772;2.640.180;2.368.578;622.311;142.646;0;9.276.395;228.282;3.963.375;10.035.129;15.288.324;6.678.817;5.230.188;362.061;41.786.177;4.852;1.889.204;3.461.247;990.473;416.405;123.467;0;6.885.648;3.757;695.476;2.976.014;4.996.883;658.816;1.141.741;14.525;10.487.212;165.673.338
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;06/2015;264.213.640;1.074.682;8.413.907;14.647.601;14.575.931;3.300.141;325.564;0;42.337.827;182.813;1.827.036;3.733.175;3.676.471;454.768;44.083;25;9.918.372;649.262;9.695.625;2.506.966;1.180;0;0;0;12.853.033;311.844;8.070.092;1.183.276;409.481;273.261;11.694;0;10.259.647;147.318;4.024.220;8.056.547;6.157.202;3.278.777;289.182;0;21.953.246;914.224;2.829.830;1.850.177;2.571.182;878.217;240.329;6.024;9.289.983;150.339;3.227.954;7.743.022;12.040.413;4.629.402;3.510.325;398.308;31.699.763;12.830;1.358.471;1.990.921;791.004;1.757.558;497.173;0;6.407.956;18.496;285.625;1.634.013;8.015.473;4.315.269;3.542.092;249.980;18.060.949;101.432.864
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;06/2015;181.249.921;3.462.852;6.606.451;14.905.237;24.871.412;8.511.101;0;0;58.357.053;2.069.659;548.896;1.357.646;3.366.682;1.865.937;643;3;9.209.467;807.207;1.156.982;3.983.777;78.811;9.478;0;0;6.036.255;124.731;1.212.736;84.896;0;0;0;0;1.422.363;107.957;451.027;3.042.162;3.006.795;4.919.004;3.691.485;0;15.218.430;557.858;2.185.640;1.360.967;77.239;8.501;5.464;0;4.195.668;351.602;4.188.393;10.497.428;16.965.497;10.716.184;25.408.197;7.681.742;75.809.043;0;0;0;0;0;0;0;0;55.740;4.267.909;3.103.150;2.736.973;409.410;416.210;12.251;11.001.643;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;06/2015;132.382.161;1.072.583;7.750.181;13.191.241;9.004.040;3.146.031;866.095;260.073;35.290.244;74.220;853.254;1.874.438;2.121.036;423.668;867.686;603.921;6.818.223;372.500;5.237.422;1.509.278;369.509;151.632;67.157;330;7.707.828;79.865;11.796.829;4.045.312;175.855;595.598;5.660;647;16.699.766;136.880;3.354.048;5.541.053;2.250.661;435.361;161.867;0;11.879.870;457.117;848.768;1.238.454;1.852.788;712.720;270.602;53.820;5.434.270;103.203;1.811.810;2.987.353;4.951.681;1.858.975;1.713.517;0;13.426.540;15.111;535.111;1.062.120;225.647;83.057;13.476;0;1.934.522;39.195;580.332;3.125.200;3.878.284;175.828;1.541.778;2.151;9.342.767;23.848.130
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;06/2015;47.442.312;153.127;4.532.011;4.789.505;3.998.834;789.107;65.193;0;14.327.778;15.259;692.556;1.032.998;706.166;102.313;7.029;0;2.556.321;78.280;1.447.490;117.100;11.968;0;0;0;1.654.839;5.456;2.478.098;274.647;4.288;50;58.060;0;2.820.598;24.738;1.620.614;1.957.022;1.055.508;1.018.512;686.878;0;6.363.274;53.078;46.090;116.583;31.800;22.140;11.070;0;280.760;50.936;840.102;2.199.906;2.671.406;840.634;525.687;64;7.128.735;3.313;148.833;141.953;13.761;8.659;599;0;317.118;0;4.204;44.149;266.521;16.916;0;0;331.791;11.661.099
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;06/2015;47.433.315;353.763;3.703.150;4.424.685;3.357.083;503.280;36.878;0;12.378.838;9.437;210.367;475.129;572.077;81.625;105;0;1.348.741;106.169;1.491.121;847.574;51.751;123;0;2.001;2.498.740;72.323;3.997.400;647.852;14.268;1.233;668;1.284;4.735.028;111.990;2.474.597;3.895.770;1.524.701;162.408;13.091;10.234;8.192.791;228.931;429.712;51.373;96.158;68.195;41.967;1.906;918.243;14.321;893.567;979.044;1.315.363;372.417;168.906;0;3.743.618;8.840;970.750;1.919.111;376.968;34.743;8.748;0;3.319.160;7.731;363.702;612.700;420.209;23.803;2.636;0;1.430.782;8.867.375
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;06/2015;16.821.454;78.646;529.822;1.103.997;1.253.022;427.039;148.444;0;3.540.970;32.731;205.649;472.019;462.859;22.674;6;0;1.195.938;0;5.347;0;0;0;0;0;5.347;392;95.228;14.748;0;0;0;0;110.369;256.014;470.433;1.144.063;1.105.264;1.229.815;5.063;996;4.211.647;236.483;278.261;183.420;430;77.024;426.445;316.082;1.518.145;18.647;278.431;622.033;988.921;624.394;740.158;0;3.272.583;797;75.946;124.792;72.322;43.210;7.289;0;324.356;0;0;0;0;0;0;0;0;2.642.099
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;06/2015;16.133.071;889.641;705.712;1.503.604;687.917;234.474;265.287;230.065;4.516.700;0;0;0;0;0;0;0;0;0;2.552;14.785;461;0;0;0;17.798;6.104;170.691;509.814;301.784;121.912;45.399;155;1.155.858;139.768;487.668;1.217.830;825.126;123.053;53.066;0;2.846.511;856;5.435;11.890;23.146;19.085;47.507;0;107.919;0;3.247;6.360;54.068;105.848;567.143;1.292.146;2.028.811;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.459.474
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;06/2015;14.589.494;123.727;1.055.417;2.114.828;2.426.834;683.406;46.101;0;6.450.313;2.640;25.541;54.686;66.708;8.325;116;0;158.016;84.281;899.683;581.151;10.822;0;0;0;1.575.937;26.028;401.797;126.935;347;0;0;0;555.106;38.957;792.133;710.689;11.876;6.852;2.649;0;1.563.155;95.954;133.885;285.537;244.381;109.446;76.433;6;945.643;15.510;157.615;370.089;665.360;306.326;328.081;31;1.843.011;17.556;178.184;223.065;84.163;43.469;44.227;0;590.665;158;25.095;78.187;410.464;190.991;6.683;0;711.578;196.069
