Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;09/2015;473.059.299;2.007.112;4.800.351;13.065.689;26.073.480;11.948.929;357.560;0;58.253.122;1.479.773;1.425.988;2.883.882;3.230.765;320.986;2;352;9.341.749;458.042;1.517.088;3.654.465;5.143.095;661.887;475;0;11.435.051;2.031.628;11.708.857;30.749.717;69.496.343;54.780.538;141.796.447;51.172.410;361.735.940;2.554.489;5.749.978;1.523.730;114.519;361;0;0;9.943.077;264.915;620.824;2.110.614;698.468;437.916;223.135;0;4.355.872;2.564.041;4.519.109;4.162.477;3.282.922;1.701.471;1.667.877;96.591;17.994.488;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;09/2015;284.383.368;185.619;4.310.280;12.056.479;23.731.450;13.428.322;7.863.523;220.409;61.796.082;408.023;3.148.093;8.468.917;9.454.070;3.885.593;1.817.469;260.905;27.443.069;55.954;1.069.373;2.715.693;3.663.580;579.264;143;21.458;8.105.466;23.014;496.766;1.047.735;2.831.570;2.745.556;12.902.901;14.800.280;34.847.821;1.122.797;17.331.608;2.758.375;145.240;22;0;208.446;21.566.488;1.672.500;14.564.796;33.902.944;28.679.268;19.853.146;22.391.356;64.483;121.128.493;303.618;1.407.559;2.959.195;1.025.300;556.192;531.630;69.081;6.852.575;2.643.374
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;09/2015;206.035.801;320.207;3.984.195;10.308.922;19.434.589;9.377.562;2.268.731;5;45.694.210;806.384;2.477.587;3.463.661;5.161.520;951.882;103.327;0;12.964.361;521.250;3.120.502;7.129.457;9.456.297;1.148.963;2.010;0;21.378.479;63.620;635.673;1.370.018;3.219.374;3.022.209;11.935.375;10.481.695;30.727.963;5.215.501;37.312.163;12.351.431;173.025;0;0;0;55.052.120;1.418;60.300;128.421;134.240;89.750;42.510;0;456.639;1.775.356;6.026.286;3.220.109;4.910.647;1.445.160;140.580;0;17.518.137;22.243.892
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;09/2015;143.081.819;204.478;3.451.769;9.111.099;14.391.616;5.413.168;1.276.358;48;33.848.536;784.685;4.501.635;4.747.298;2.662.194;215.244;12.458;12;12.923.526;379.481;3.543.137;8.289.602;9.310.178;894.687;4.852;1;22.421.938;42.647;400.189;888.613;2.298.831;2.124.016;8.101.667;6.281.868;20.137.830;3.671.984;15.067.687;6.341.197;229.663;1.869;19;0;25.312.419;215.112;3.161.011;5.577.522;3.821.347;1.781.500;802.062;53;15.358.606;1.362.748;5.372.647;2.102.422;2.201.314;722.950;240.006;17.842;12.019.929;1.059.034
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;09/2015;125.620.592;307.934;1.511.618;3.810.361;5.516.046;1.792.314;476.923;179;13.415.375;468.911;940.852;2.077.999;2.905.651;581.238;62.204;85;7.036.939;588.039;4.617.239;10.861.353;13.200.149;1.339.766;7.528;2.110;30.616.183;41.201;1.025.546;2.456.938;5.116.306;3.727.114;9.034.920;3.754.165;25.156.191;1.300.952;13.234.723;2.744.706;477.300;114.977;26.992;19;17.899.669;37.690;823.625;1.098.265;899.169;441.367;175.130;0;3.475.247;1.701.299;4.713.074;3.087.589;3.537.971;1.382.871;429.178;855;14.852.837;13.168.151
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;09/2015;34.872.499;96.800;691.463;1.601.818;1.958.432;588.543;114.282;0;5.051.338;11.135;50.980;44.829;16.331;2.349;2.757;0;128.381;756.586;4.360.681;9.879.602;12.085.969;1.124.522;304;0;28.207.665;0;0;0;0;0;0;0;0;228.590;724.905;190.372;140;0;0;0;1.144.007;819;9.353;17.359;48.737;50.415;2.967;0;129.649;8.368;70.251;27.088;89.432;16.320;0;0;211.460;0
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;09/2015;26.464.466;0;0;0;0;0;0;0;0;33.607;88.187;642.702;119.395;1.280;0;0;885.171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;3.100;2.532;5.151;5.432;30.481;0;46.713;1.108;5.436;93.569;10.941;1.860;427;0;113.341;25.419.241
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;09/2015;21.530.907;14.657;127.462;327.319;584.354;145.030;7.732;99;1.206.652;546.638;1.268.958;1.791.263;1.582.100;468.422;713;5.434;5.663.526;32.045;235.940;559.956;838.013;143.848;230;0;1.810.032;8.143;110.536;251.208;648.280;346.452;2.721.521;1.725.748;5.811.887;486.934;2.715.340;445.209;6;0;0;0;3.647.489;29.941;255.269;1.002.124;267.847;2.353;0;0;1.557.535;248.608;535.718;691.161;71.047;10.099;29.507;8.674;1.594.815;238.971
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;09/2015;15.943.975;124.517;745.351;2.018.349;3.446.282;1.393.836;541.230;114;8.269.679;38.483;608.745;433.305;192.976;20.263;47.846;3;1.341.621;625;15.328;39.781;59.222;14.284;109;0;129.350;2.805;48.673;130.667;334.587;308.717;1.211.136;940.794;2.977.379;50.074;80.075;6.616;0;0;0;0;136.764;28.171;126.355;651.032;366.717;268.048;329.573;12.609;1.782.506;115.213;640.980;183.363;207.801;92.955;66.241;124;1.306.676;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;09/2015;13.125.338;50.576;420.103;1.146.200;2.068.120;940.038;319.601;0;4.944.638;5.942;8.735;21.463;10.330;11;0;0;46.481;175.820;641.847;1.613.322;2.760.257;481.424;710;0;5.673.379;1.143;7.964;19.984;43.409;32.539;74.642;15.334;195.015;198.652;966.176;147.173;9.797;485;0;0;1.322.282;0;0;0;0;0;0;0;0;6.798;93.381;202.416;307.866;123.157;195.633;14.292;943.543;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;09/2015;9.633.946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62.841;1.031.034;1.878.279;1.614.979;595.680;348.893;0;5.531.706;70.892;520.025;1.017.828;1.485.849;849.323;158.322;0;4.102.240;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;09/2015;9.567.938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;80.018;1.431.754;3.415.021;4.147.452;493.264;429;0;9.567.938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;09/2015;7.627.693;23.784;361.801;911.694;1.977.054;889.406;276.676;0;4.440.416;20.197;366.918;383.359;635.938;141.628;10.870;0;1.558.911;2.992;21.274;53.858;78.980;12.686;8;0;169.799;673;25.483;59.204;153.731;144.769;193.059;51;576.969;5;2.177;204;0;0;0;0;2.386;37.703;69.214;62.732;79.420;51.655;58.293;2;359.020;17.815;40.684;195.107;81.073;35.004;12.993;137.518;520.193;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;09/2015;7.526.470;568;7.477;20.020;21.849;2.087;0;0;52.000;194;424;1.161;1.208;72;0;0;3.060;61.941;1.110.541;2.642.174;3.257.793;398.280;657;0;7.471.387;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;8;11;1;0;0;0;23;0
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;09/2015;7.264.615;6.285;186.468;500.492;895.586;450.514;141.072;0;2.180.417;2.055;113.367;211.960;146.728;22.136;9.995;0;506.242;31.873;533.119;1.231.518;1.447.501;124.378;21;0;3.368.411;41;99;573;868;500;943;0;3.024;3.104;94.195;22.482;13;0;0;0;119.794;581;8.757;30.275;20.314;7.338;470;0;67.735;2.217;681.934;169.734;49.034;3.802;499;0;907.220;111.773
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;09/2015;6.901.383;35.666;368.907;1.101.881;2.010.580;900.892;230.009;0;4.647.935;43;475;6.328;201;0;0;0;7.048;195;276;141;0;0;0;0;612;0;0;0;0;0;0;0;0;176.559;1.389.492;513.490;36.613;0;0;0;2.116.154;0;0;953;0;0;0;0;953;18.778;35.395;53.571;20.938;0;0;0;128.682;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;09/2015;6.252.058;35.308;389.460;1.066.991;2.014.042;1.095.465;413.289;0;5.014.555;11.888;58.914;72.379;55.302;245;22;0;198.749;35.209;128.846;279.840;309.198;26.145;4;0;779.242;0;0;0;0;0;0;0;0;4.047;23.403;984;17;5;0;0;28.455;0;0;825;737;0;0;0;1.563;10.794;135.895;49.529;18.788;1.564;8.810;122;225.502;3.993
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;09/2015;5.585.819;9.124;30.621;65.111;91.111;21.458;79;0;217.504;31.737;146.637;267.936;431.901;74.929;0;0;953.141;405;1.531;600;0;0;0;0;2.536;696;15.231;35.681;93.272;86.868;352.038;287.950;871.735;249.038;2.322.285;522.640;164.973;429;0;0;3.259.365;0;0;42.884;0;0;0;0;42.884;53.190;154.062;23.180;7.878;343;0;0;238.654;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;09/2015;5.086.795;41.054;372.352;930.490;1.368.479;449.830;66.290;0;3.228.494;36.488;195.879;450.773;513.421;99.499;6.337;0;1.302.396;3.286;16.098;34.769;31.734;1.147;0;0;87.035;25;328;821;1.527;1.359;1.013;0;5.074;19.197;104.250;0;0;0;0;0;123.446;0;18.164;10.815;16.400;28.128;9.082;0;82.590;49.100;81.392;88.557;30.013;7.734;962;0;257.758;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;09/2015;5.077.368;0;457;1.312;2.101;870;220;0;4.959;0;2.322;177;251;55;0;0;2.805;0;6.417;18.182;43.512;28.435;28.851;0;125.397;0;434;1.265;3.435;3.297;13.768;9.869;32.068;0;0;0;0;0;0;0;0;0;276.582;543.673;1.402.848;1.251.064;1.382.469;0;4.856.636;1.688;9.612;16.637;24.247;3.240;79;0;55.504;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;09/2015;4.840.826;61.897;206.496;490.470;613.443;143.509;45.574;186;1.561.575;3.014;56.287;47.547;56.737;428;133;0;164.145;117.503;229.200;472.221;424.277;31.725;0;0;1.274.927;0;0;0;0;0;0;0;0;169.190;1.616.187;7.837;1.168;66;0;0;1.794.447;0;0;0;0;0;0;0;0;330;1.153;2.544;7.045;7.498;27.119;44;45.733;0
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;09/2015;4.654.504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;904.174;2.590.237;1.030.361;129.614;0;0;118;4.654.504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;09/2015;4.422.486;549;14.113;38.156;61.149;21.024;992;5;135.987;4.032;9.106;17.802;17.984;239;1;0;49.164;0;0;0;0;0;0;0;0;0;2;5;14;14;69;139;243;7.741;30.327;9.074;12;0;0;0;47.154;511.223;2.975;27.105;6.837;44.087;649.817;0;1.242.044;49.858;1.904.441;944.768;41.576;5.590;1.662;0;2.947.895;0
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;09/2015;4.410.319;0;0;0;0;0;0;0;0;1.716;10.569;28.163;45.480;3.553;767;0;90.249;270;4.156;26.396;35.471;1.264;0;0;67.557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.839;190.940;779.701;1.433.293;904.908;363.774;0;3.689.455;1.073;86.636;70.236;312.029;90.352;2.733;0;563.059;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;09/2015;4.022.433;1.582;7.604;21.608;21.284;2.896;5;0;54.979;509;2.015;6.089;1.772;146;0;0;10.531;6.003;66.787;157.571;180.641;16.688;7;0;427.696;0;0;0;0;0;0;0;0;330.050;2.393.329;746.785;50.677;8.371;4;0;3.529.215;0;0;0;0;0;0;0;0;1;2;4;6;0;0;0;13;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;09/2015;3.801.805;0;0;0;0;0;0;0;0;173;453;970;2.002;1.598;1.593;0;6.790;81;142;135;0;0;0;0;358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.714;384.954;804.121;1.583.287;774.703;186.234;0;3.792.013;221;372;1.093;883;74;0;0;2.644;0
