Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Quantidade de Clientes;Quantidade de Operações;
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2014;27.351.157;137.881.997
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2014;21.735.704;139.980.893
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2014;14.719.009;60.089.656
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2014;12.319.735;48.161.965
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2014;9.196.715;32.122.290
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2014;4.429.749;20.141.107
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2014;4.300.151;7.575.915
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2014;1.852.043;5.117.155
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2014;1.758.603;4.996.492
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2014;1.539.805;5.370.361
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;12/2014;1.521.671;4.784.402
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2014;1.206.568;6.324.061
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2014;936.790;2.177.170
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;12/2014;845.294;1.614.591
SOCIETE GENERALE;31.859;b1;C;3;;199;SAO PAULO;SP;12/2014;740.384;3.025.822
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60.779.196;n1;I;2;;14;SAO PAULO;SP;12/2014;723.011;1.241.160
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2014;690.999;5.075.442
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;;14;SAO PAULO;SP;12/2014;679.845;20.796.993
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2014;658.170;969.803
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;12/2014;637.996;1.250.498
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2014;605.748;684.007
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2014;602.522;769.355
