Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;12/2016;54.534.318;155.494;33.887.055;-566.365;404.799;2.770.797;91.186.098;-59.638.687;-5.252.486;-85.311;0;-14.520.506;-79.496.990;11.689.108;6.264.938;4.466.576;-12.266.527;-8.544.682;-2.272.810;2.655.622;8.538.528;-6.420.494;-7.578.850;4.110.258;13.229;4.123.487;-409.484;-388.764;3.325.239;-943.389
ITAU;10069;b1;;C;2;SAO PAULO;SP;12/2016;43.537.706;1.461.112;26.470.122;2.896.424;2.450.146;3.702.579;80.518.089;-40.869.241;-4.577.786;-1.639.206;0;-11.222.281;-58.308.514;22.209.574;8.725.772;5.381.291;-9.055.825;-10.269.614;-2.853.287;3.940.324;23.311.312;-27.834.855;-8.654.882;13.554.693;330.692;13.885.385;-1.478.688;-2.663.620;9.743.077;-5.438.459
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;12/2016;48.421.812;0;22.377.249;-1.129.903;189.330;7.100.192;76.958.680;-44.101.405;-9.755.882;0;0;-10.042.010;-63.899.296;13.059.384;8.982.005;2.611.048;-10.983.814;-5.574.074;-1.826.637;315.594;3.341.655;-6.736.042;-9.870.265;3.189.119;-158.623;3.030.496;-535.278;-784.700;1.710.519;0
BRADESCO;10045;b1;;C;2;OSASCO;SP;12/2016;41.350.173;1.406.571;26.542.757;2.836.297;1.047.384;3.142.894;76.326.077;-43.639.891;-2.524.655;-1.187.687;0;-13.732.292;-61.084.525;15.241.552;5.635.049;4.796.257;-9.119.841;-11.141.575;-2.182.879;5.766.068;3.690.707;-7.677.073;-10.233.287;5.008.265;-787.880;4.220.384;2.610.941;0;6.831.326;-4.069.993
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;12/2016;22.961.664;1.106.255;13.654.330;1.700.208;0;3.745.019;43.167.476;-26.222.338;-1.339.924;-898.714;-313.878;-7.428.132;-36.202.986;6.964.489;4.463.929;1.840.684;-3.793.349;-5.176.708;-1.605.931;453.306;13.565.566;-12.999.010;-3.251.514;3.712.975;-443.564;3.269.411;410.960;-577.786;3.102.584;-3.452.826
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;12/2016;28.720.981;0;13.332.905;-216.762;0;1;41.837.124;-1.852.214;-28.261.201;0;-392.703;-4.568.839;-35.074.957;6.762.167;140.811;0;-684.512;-187.557;-528.255;2.989.264;497.207;-824.546;1.402.412;8.164.579;-2.079;8.162.500;565.052;-161.966;8.565.585;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;12/2016;3.561.683;882.402;5.225.740;15.057;102.217;124.482;9.911.580;-6.757.666;-304.370;-777.115;0;-563.989;-8.403.140;1.508.440;413.550;148.007;-1.016.423;-765.224;-166.863;367.837;872.486;-438.600;-585.231;923.209;-471;922.738;-54.751;0;867.987;-672.307
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;12/2016;5.541.533;66.095;2.493.691;-100.266;37.071;26.408;8.064.533;-5.106.597;-177.229;-63.651;0;-1.814.540;-7.162.017;902.517;260.595;341.472;-653.296;-638.163;-167.193;125.587;899.452;-936.795;-768.341;134.175;-3.877;130.298;153.712;-52.606;231.404;0
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;12/2016;3.557.072;17.432;1.406.608;-46.901;73.291;620.502;5.628.004;-2.760.642;-158.872;-14.364;0;-529.717;-3.463.595;2.164.409;76.529;434.227;-973.837;-635.787;-164.548;146.740;149.743;-818.902;-1.785.834;378.575;-5.473;373.102;-55.375;-47.661;270.066;-95.062
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;12/2016;604.313;0;2.541.055;896.984;427.109;100.352;4.569.812;-3.335.797;-135.523;0;0;-75.523;-3.546.842;1.022.970;837.140;4.675;-231.039;-746.405;-252.443;-1.011;1.393.449;-707.568;296.798;1.319.768;447.165;1.766.932;-167.566;-202.501;1.396.865;-890.000
