Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2018;519.936.822;2.412.983;5.688.409;14.409.979;23.983.722;10.765.443;4.344.951;72;61.605.559;620.054;705.629;1.836.163;1.358.938;158.000;2.541;9.365;4.690.690;244.496;800.916;1.697.208;1.269.911;33.724;50;976;4.047.280;1.476.117;12.735.647;34.175.135;78.103.919;62.606.184;169.493.958;64.494.152;423.085.113;1.502.582;5.624.356;1.736.444;120.840;10.289;8.912;0;9.003.422;205.629;958.146;1.486.573;729.252;249.368;127.733;0;3.756.701;1.856.013;3.760.345;3.126.431;2.547.711;1.263.142;1.134.849;59.564;13.748.055;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2018;327.447.111;280.350;4.461.294;12.396.613;25.733.472;16.475.028;9.370.615;416.939;69.134.311;566.465;2.673.972;6.943.331;8.156.773;3.585.492;1.769.045;1.067.596;24.762.674;40.021;498.976;1.244.037;1.634.451;286.744;63;99.207;3.803.497;62.861;597.441;1.298.541;3.441.166;3.413.332;16.879.288;20.712.329;46.404.959;855.769;19.607.489;3.871.739;272.396;21;0;453.024;25.060.438;1.992.786;20.515.305;38.297.569;38.351.301;24.418.400;20.208.089;139.460;143.922.910;573.148;1.171.200;3.074.131;3.113.548;1.944.981;1.303.789;298.029;11.478.826;2.879.497
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2018;253.201.006;443.954;3.987.260;9.894.460;18.691.818;9.848.884;2.537.895;130;45.404.401;492.873;1.572.483;3.669.225;4.738.646;1.545.688;48.645;0;12.067.560;177.663;1.670.579;4.142.423;7.229.586;1.446.393;2.584;0;14.669.226;113.403;734.440;1.551.201;3.983.999;3.759.868;15.312.596;12.974.548;38.430.055;4.579.841;44.485.137;16.445.600;588.105;55;1;0;66.098.739;1.172;229.782;349.022;133.084;46.826;23.873;0;783.760;1.714.664;5.918.292;2.980.967;4.552.530;1.435.731;211.170;0;16.813.355;58.933.910
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2018;180.271.104;234.766;4.844.629;11.962.870;19.409.409;7.895.118;2.233.570;538;46.580.900;833.526;4.783.156;5.998.381;3.514.526;509.833;93.111;174;15.732.708;272.552;3.233.450;7.724.724;9.680.464;1.253.973;2.882;0;22.168.044;81.487;669.909;1.470.236;3.767.840;3.532.812;13.988.247;10.927.758;34.438.289;4.273.556;21.333.258;7.224.367;312.005;5.353;146;0;33.148.685;198.287;3.129.380;5.019.061;3.857.533;1.508.788;710.571;0;14.423.620;1.441.784;5.129.000;2.697.235;2.848.767;808.875;264.583;16.844;13.207.088;571.770
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2018;169.306.101;449.100;2.793.251;7.120.323;11.498.308;5.188.457;2.483.257;708;29.533.405;749.348;1.245.632;2.800.181;3.892.482;1.217.782;176.974;16.766;10.099.165;572.635;5.199.990;12.784.970;17.948.320;2.769.140;12.108;3.218;39.290.380;42.302;1.235.791;2.939.803;6.196.264;4.511.234;10.900.908;4.504.233;30.330.534;1.670.203;18.665.090;5.660.828;568.701;122.180;45.589;26;26.732.618;42.317;657.010;2.007.596;1.232.169;624.594;441.086;0;5.004.771;1.822.963;5.164.076;3.952.928;4.108.585;1.913.761;1.034.156;25.514;18.021.983;10.293.245
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2018;36.092.500;70.881;336.190;772.790;981.266;245.112;38.943;0;2.445.183;18.628;108.677;49.025;20.705;325;7;0;197.367;636.356;4.461.715;10.481.995;14.049.259;1.600.424;521;0;31.230.271;0;0;0;0;0;0;0;0;323.283;1.199.029;454.872;14.478;0;0;0;1.991.662;582;4.090;26.937;27.303;3.985;1.361;0;64.258;2.667;11.159;35.350;88.456;17.656;8.343;129;163.760;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2018;21.391.722;68.096;914.748;2.460.998;4.555.310;2.658.977;1.294.106;72;11.952.307;30.100;553.380;720.900;164.839;88.655;13.528;0;1.571.403;310;4.432;10.784;11.063;1.529;5;0;28.121;3.203;61.215;142.212;370.270;347.223;1.344.873;994.065;3.263.061;44.986;847.959;214.122;4.817;0;0;0;1.111.884;27.276;366.412;385.899;354.966;271.015;214.369;14.952;1.634.890;121.315;1.086.503;225.632;216.280;106.176;74.075;74;1.830.056;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2018;17.305.539;16.488;652.770;1.794.166;3.417.875;1.917.056;485.729;0;8.284.084;5.489;150.360;365.381;259.812;39.954;6.346;0;827.341;50.492;984.422;2.485.827;3.568.315;444.459;274;0;7.533.788;7;123;383;738;863;234;0;2.348;3.874;165.445;50.638;56;0;0;0;220.013;94;17.732;63.449;38.167;19.029;9.084;0;147.557;2.672;170.212;83.859;8.361;3.347;0;0;268.451;21.957
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;06/2018;16.985.181;95.987;665.604;1.768.183;3.133.614;1.615.027;602.370;0;7.880.786;9.151;33.120;66.824;51.448;535;0;0;161.079;176.320;839.090;1.981.545;2.707.971;292.779;29;0;5.997.733;786;5.096;12.743;28.274;21.081;45.249;7.886;121.115;357.442;1.658.084;203.507;16.279;2.186;173;0;2.237.671;0;0;0;0;0;0;0;0;65.931;42.548;90.550;166.099;89.308;127.391;4.969;586.797;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;06/2018;11.695.638;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.754;1.099.346;1.541.230;1.514.480;664.551;354.503;0;5.252.863;148.130;831.747;1.848.753;2.286.749;1.015.048;312.347;0;6.442.775;0
