Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2016;485.728.731;2.091.866;5.294.458;14.194.824;28.892.586;9.679.129;364.430;0;60.517.294;1.216.852;1.213.853;2.518.939;2.602.691;200.149;0;266;7.752.750;545.870;1.592.382;3.797.816;5.079.551;540.839;177;0;11.556.635;2.355.497;11.768.062;31.486.540;71.552.311;56.517.969;147.570.432;53.625.630;374.876.441;2.153.783;5.619.727;1.530.608;121.016;125;0;0;9.425.259;275.472;1.729.104;1.173.738;672.164;475.517;205.059;0;4.531.054;2.480.546;4.565.291;3.769.182;3.040.438;1.571.256;1.551.513;91.072;17.069.298;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2016;295.703.259;179.567;4.355.234;12.135.422;23.690.945;13.984.074;8.157.695;260.035;62.762.971;509.720;3.028.875;8.571.497;9.525.273;4.096.096;1.834.870;423.962;27.990.293;60.028;965.190;2.448.266;3.134.834;485.670;146;21.409;7.115.544;29.643;544.236;1.118.344;3.003.603;2.911.598;13.871.496;16.653.383;38.132.302;1.120.113;18.308.616;2.916.975;94.800;41;0;330.867;22.771.411;1.952.227;11.864.268;41.317.804;30.015.270;20.151.747;22.115.029;110.913;127.527.259;372.958;1.170.089;3.020.671;1.229.582;745.510;762.111;92.353;7.393.274;2.010.204
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2016;204.511.311;400.870;4.068.769;10.582.129;19.851.678;9.947.929;1.890.146;36;46.741.556;833.277;1.902.413;3.182.222;4.409.918;964.296;73.850;0;11.365.976;438.374;2.587.507;5.933.187;8.173.228;1.017.675;1.520;6;18.151.497;70.997;549.999;1.328.862;3.441.900;3.232.925;12.880.573;11.327.097;32.832.352;5.420.477;37.190.729;12.108.002;149.440;28;0;0;54.868.675;281;72.616;231.266;131.869;101.268;29.131;0;566.429;2.024.936;6.040.170;3.238.479;5.003.422;1.665.548;188.468;0;18.161.024;21.823.802
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2016;146.262.196;204.945;3.694.773;9.547.813;15.000.102;5.916.494;1.145.285;134;35.509.546;823.151;4.231.932;4.584.369;2.409.374;175.574;9.275;35;12.233.711;426.774;3.334.396;7.637.563;8.517.510;733.252;3.353;4;20.652.853;53.675;456.027;1.000.751;2.574.240;2.370.270;9.173.033;7.302.832;22.930.827;4.061.493;15.536.015;6.616.782;299.376;628;0;0;26.514.295;208.226;1.668.557;6.936.316;3.540.156;1.519.627;812.942;0;14.685.824;1.609.752;5.466.729;2.402.122;2.428.509;714.502;233.147;17.200;12.871.962;863.178
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2016;123.464.410;276.090;1.651.264;4.146.995;6.031.948;2.091.313;620.704;192;14.818.507;417.080;879.333;1.930.113;2.555.177;561.674;62.998;90;6.406.465;628.304;4.466.915;10.386.699;12.380.411;1.193.873;13.955;2.264;29.072.421;49.288;1.057.715;2.610.054;5.426.277;3.943.866;9.503.282;3.936.841;26.527.324;1.395.654;14.071.848;2.820.083;473.270;119.140;32.760;20;18.912.775;24.676;288.293;1.875.780;873.034;339.557;191.385;0;3.592.725;1.729.881;4.348.654;3.230.189;3.633.323;1.437.530;488.981;844;14.869.402;9.264.792
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2016;33.353.318;96.416;619.404;1.373.949;1.741.704;566.174;70.176;0;4.467.823;12.253;26.891;81.881;13.410;13.230;3.361;0;151.027;732.408;4.219.318;9.629.617;11.549.197;1.046.074;421;0;27.177.036;0;0;0;0;0;0;0;0;270.834;806.933;227.865;93;0;0;0;1.305.725;144;12.562;13.216;55.798;37.371;4.922;0;124.012;156;7.522;67.383;39.411;13.223;0;0;127.695;0
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2016;22.428.360;18.183;144.765;367.276;642.228;169.002;13.006;3;1.354.464;609.786;1.351.241;1.982.646;1.823.561;460.229;547;938;6.228.947;28.298;204.305;504.256;762.401;130.232;225;0;1.629.717;9.965;114.800;257.312;660.016;371.298;2.749.120;1.744.187;5.906.698;571.993;2.942.003;532.238;8;0;0;22.702;4.068.944;33.435;191.558;1.085.995;214.196;1.261;0;0;1.526.445;274.413;850.162;299.650;73.805;9.824;26.908;24.874;1.559.637;153.508
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2016;21.119.324;0;0;0;0;0;0;0;0;1.069;78.840;570.816;66.558;59.655;0;0;776.937;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;96;4.814;5.131;5.419;27.788;0;43.291;865;5.667;75.212;6.016;1.607;238;0;89.605;20.209.492
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2016;16.987.172;140.559;754.886;2.015.313;3.340.870;1.399.810;567.689;70;8.219.199;49.801;375.328;1.536.591;176.734;22.490;51.866;3;2.212.812;744;13.157;33.608;46.018;8.981;82;0;102.591;5.040;48.781;131.634;341.706;314.966;1.235.872;949.880;3.027.878;50.530;119.658;7.402;0;0;0;0;177.591;29.726;590.979;251.334;392.069;274.052;341.584;21.382;1.901.125;123.479;671.523;160.124;217.170;100.090;73.507;85;1.345.978;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;03/2016;13.398.558;61.698;471.092;1.283.566;2.295.652;1.043.314;361.719;0;5.517.042;5.744;10.323;13.710;6.491;5;0;0;36.273;180.489;606.319;1.478.901;2.410.154;417.088;384;0;5.093.335;1.315;7.041;17.808;38.808;29.206;66.173;13.015;173.366;249.072;1.180.824;144.989;17.603;830;135;0;1.593.454;0;0;0;0;0;0;0;0;45.065;100.700;173.702;291.964;145.167;214.628;13.861;985.088;0
