Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2017;693.870.303;365.389.314;66.814.226;121.928.149;71.598.049;29.994.792;7.838.543;8.795.721;2.841.640;18.669.869;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2017;620.655.660;282.419.279;60.043.863;128.290.469;60.528.947;10.150.901;12.602.351;5.192.386;5.929.853;18.632.472;36.865.139
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2017;534.235.134;123.553.889;128.883.143;17.225.946;14.167.395;8.099.217;4.488.919;5.334.583;3.869.918;12.575.103;216.037.022
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2017;407.151.562;98.599.756;120.085.372;36.490.939;33.164.922;9.145.611;6.488.939;4.007.532;2.907.748;18.794.796;77.465.948
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2017;306.014.660;42.998.101;88.721.150;114.719.465;38.663.439;3.425.140;14.886.533;94.056;40.857;2.465.918;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2017;271.536.486;84.688.072;105.450.331;18.734.111;12.643.016;9.921.091;4.291.619;3.471.299;1.857.017;9.019.771;21.460.158
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2017;59.808.565;32.039.385;13.204.285;1.990.817;657.656;563.471;60.052;78.072;79.171;1.140.348;9.995.308
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2017;48.277.609;3.136.367;20.295.737;9.412.288;8.452.435;1.596.312;583.447;435.389;1.053.464;1.624.229;1.687.942
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2017;30.598.966;2.706.525;19.332.053;3.322.816;1.385.662;946.534;342.507;235.280;329.516;1.886.483;111.591
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2017;18.366.872;0;14.589.206;984.484;727.146;535.443;372.232;330.515;138.566;689.281;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2017;16.913.285;1.974.384;3.720.507;8.731.139;904.055;782.325;287.231;151.916;47.942;313.787;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2017;15.815.812;3.623.067;9.322.425;720.451;1.544.760;101.416;64.935;187.989;56.920;193.849;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2017;15.161.971;260;6.899.368;5.675.691;1.398.304;166.628;105.158;74.512;40.965;682.451;118.635
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2017;13.976.680;6.412.439;5.900.744;581.399;310.138;170.125;100.625;232.321;88.361;180.528;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2017;13.879.572;1.385.037;2.898.522;1.235.441;487.847;1.608.503;110.348;585.109;1.278;182.700;5.384.788
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2017;13.068.585;483.754;7.783.994;1.900.710;1.471.780;498.223;317.007;99.938;76.421;436.756;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2017;12.968.703;567.722;4.202.933;3.876.880;1.137.217;234.304;131.294;27.928;30.130;132.104;2.628.191
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2017;10.958.079;4.112.754;4.112.276;1.103.589;133.036;394.734;99.190;258.657;90.470;653.372;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2017;10.875.422;5.587.010;3.452.899;1.091.299;195.586;175.574;28.297;7.536;52.921;284.299;0
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2017;9.111.407;56.233;6.942.251;844.872;965.922;119.328;45.133;25.044;22.119;90.504;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2017;8.709.674;8.363.966;340.494;2.864;287;78;127;82;58;1.718;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2017;8.626.053;5.080.545;1.387.779;943.252;530.029;259.169;66.486;59.013;47.993;251.760;27
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2017;8.483.361;0;7.487.109;209.871;99.883;38.746;98.342;77.468;115.909;356.032;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;12/2017;7.964.631;233.483;3.947.343;2.404.221;436.219;349.097;256.705;154.532;33.793;149.237;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2017;7.718.190;1.667.984;4.187.362;1.308.967;446.876;33.807;26.969;10.205;4.280;31.739;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2017;7.692.439;927.976;2.501.858;1.747.835;1.329.135;961.849;52.483;28.291;21.200;121.812;0
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;12/2017;7.116.123;283.827;2.501.787;387.416;453.942;141.213;258.548;75.359;133.559;141.238;2.739.234
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;12/2017;7.002.638;394.840;2.656.935;2.293.623;1.129.835;167.692;111.504;47.894;21.411;178.903;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2017;6.287.808;0;5.065.228;115.491;99.480;140.483;178.031;108.570;81.644;498.882;0
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2017;6.059.712;60.465;5.385.293;116.958;99.121;68.129;58.311;44.516;30.615;196.304;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;12/2017;6.054.126;2.195.970;662.848;1.081.212;865.014;321.189;260.090;52.384;64.443;550.977;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2017;6.011.006;463.833;3.401.666;516.690;207.984;437.068;304.626;232.538;108.775;337.827;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2017;5.772.820;8.615;4.954.952;579.536;190.610;20.247;9.515;1.329;910;7.106;0
