Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2015;705.255.067;335.124.222;130.418.434;106.741.929;22.582.827;5.769.026;11.763.098;4.757.177;3.726.015;17.314.259;67.058.082
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2015;673.708.539;332.266.722;104.513.522;95.494.587;73.181.173;32.991.238;7.927.799;4.403.076;5.026.922;17.903.500;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2015;538.694.716;152.384.976;123.720.962;21.248.733;14.462.264;9.597.854;4.092.114;3.537.170;3.156.835;13.558.030;192.935.777
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2015;434.977.483;41.918.876;130.289.928;62.613.373;43.260.458;7.366.427;3.651.661;3.250.955;2.069.294;13.271.246;127.285.265
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;12/2015;391.671.844;92.074.524;119.079.850;164.399.287;11.815.612;1.960.527;1.954.144;21.953;907;365.041;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2015;260.218.400;81.092.355;91.453.985;16.311.953;12.081.844;7.594.758;3.138.689;2.661.271;1.665.036;7.940.735;36.277.774
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2015;71.483.400;31.680.334;15.260.803;6.023.033;2.026.933;1.111.071;887.003;917.572;550.094;2.998.890;10.027.668
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2015;66.123.684;1.168.792;2.581.282;2.136.752;407.168;1.068.720;642.603;155.730;0;569.938;57.392.699
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2015;51.546.602;3.146.151;24.225.049;7.645.010;8.299.469;1.314.285;606.156;432.129;919.990;2.189.490;2.768.873
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;12/2015;49.648.872;26.639.432;8.054.394;1.552.771;608.163;271.637;246.776;154.279;106.039;1.209.866;10.805.514
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2015;31.138.785;5.988.758;13.248.015;6.307.443;2.261.389;930.073;290.813;247.064;196.660;1.398.453;270.116
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2015;21.088.345;7.341.994;8.904.283;2.474.041;325.524;957.501;201.346;149.013;185.912;548.729;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;12/2015;18.007.756;449.696;11.824.794;2.279.860;1.760.469;543.135;429.168;140.031;90.910;489.692;0
PAN;31.323;b1;C;2;;199;SAO PAULO;SP;12/2015;17.317.364;0;11.815.310;2.372.943;1.165.888;710.439;347.371;186.540;172.638;546.236;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2015;16.189.739;2.516.293;3.079.624;8.837.290;979.703;208.716;105.140;199.180;81.165;182.628;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2015;14.573.338;13.931.948;605.718;20.173;2.278;1.148;7.737;505;401;3.431;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2015;13.838.841;5.218.780;4.554.399;2.414.846;196.004;182.017;168.166;102.317;156.642;845.670;0
DAYCOVAL;51.987;b1;C;2;;199;SAO PAULO;SP;12/2015;13.678.525;90.957;5.928.492;4.720.937;1.489.496;586.528;116.604;99.210;65.098;437.392;143.811
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2015;12.523.337;363.176;2.972.522;3.835.208;1.173.436;178.899;122.085;32.948;66.912;27.368;3.750.783
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2015;12.356.388;6.009.373;5.155.184;501.175;255.192;90.783;87.489;23.450;104.153;129.590;0
BNP PARIBAS;51.516;b1;C;3;;199;SAO PAULO;SP;12/2015;11.648.565;2.670.034;7.707.906;434.146;269.207;104.883;68.777;74.717;56.857;262.038;0
BANCO GMAC S.A.;59.274.605;b2;I;3;;8;SAO PAULO;SP;12/2015;11.055.925;1.193;9.309.343;674.044;739.494;95.112;48.791;50.214;25.813;111.922;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2015;10.514.249;6.423.720;3.613.254;306.374;138.776;8.516;3.051;6.781;808;12.968;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2015;9.745.835;115.544;3.827.696;3.938.130;1.025.425;364.468;179.278;96.284;61.876;137.134;0
BRB;31.976;b1;C;1;;199;BRASILIA;DF;12/2015;9.494.274;5.759.629;851.759;1.385.107;662.796;202.762;117.631;87.823;54.298;372.469;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2015;8.632.005;0;6.812.468;858.397;397.313;101.092;67.381;52.469;51.842;291.042;0
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2015;8.060.554;669.584;4.585.963;829.304;596.461;446.677;219.262;125.098;101.620;486.584;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2015;7.943.556;22.653;2.440.855;465.337;193.404;328.312;36.850;6.877;0;454.738;3.994.528
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2015;7.655.784;1.163.937;4.528.637;1.616.740;204.220;77.547;13.358;6.364;5.147;39.834;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;12/2015;6.669.239;680.069;2.420.433;1.426.553;929.508;886.300;114.962;44.452;45.758;121.203;0
CCB;32.119;b1;C;3;;199;SAO PAULO;SP;12/2015;6.221.691;602.416;1.967.898;763.041;694.303;373.975;231.988;139.323;32.476;596.847;819.425
JOHN DEERE;50.071;b1;C;3;;199;INDAIATUBA;SP;12/2015;6.133.680;60.282;3.134.714;1.792.108;810.741;127.697;66.730;11.047;61.289;69.073;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;12/2015;5.893.047;1.840.617;1.123.715;1.148.866;1.297.067;283.393;56.717;53.032;14.555;75.086;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;12/2015;5.122.433;3.072.808;215.814;300.354;50.232;0;37.194;0;0;0;1.446.030
BANCO CSF S.A.;8.357.240;b2;I;3;;8;SAO PAULO;SP;12/2015;5.034.438;0;3.758.792;106.066;108.909;148.674;133.942;118.937;96.902;562.216;0
PORTO SEGURO;51.444;n1;C;2;;197;SAO PAULO;SP;12/2015;4.560.707;19.894;3.922.117;90.651;88.887;50.886;62.308;51.273;74.041;200.649;0
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;12/2015;4.552.135;1.501.968;1.246.010;1.411.020;274.098;45.199;21.984;16.010;5.094;30.751;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;;8;PORTO ALEGRE;RS;12/2015;4.507.563;0;3.259.636;627.246;326.239;53.445;20.847;13.388;42.778;163.983;0
ORIGINAL;51.781;b1;C;2;;199;SAO PAULO;SP;12/2015;4.255.482;436.131;2.362.465;962.676;240.873;107.774;57.534;7.347;6.072;74.610;0
ING;51.073;b1;C;3;;199;SAO PAULO;SP;12/2015;4.216.692;4.207.603;0;0;9.088;0;0;0;0;0;0
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;12/2015;4.061.348;288.350;1.000.233;937.948;941.272;156.080;28.615;88.312;64.972;46.056;509.511
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;12/2015;4.052.656;589.460;1.095.105;1.404.770;524.041;198.396;39.041;32.618;16.615;152.609;0
