Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;;C;2;SAO PAULO;SP;03/2016;19.493.889;551.697;15.699.957;3.185.841;173.983;1.582.657;40.688.025;-20.314.041;-1.849.662;-622.440;0;-6.156.362;-28.942.505;11.745.519;5.418.842;2.456.624;-3.731.404;-5.050.909;-1.880.434;-955.446;19.005.920;-15.093.899;169.294;11.914.813;165.155;12.079.969;-4.691.373;-2.960.239;4.428.356;-2.698.857
BB - PRUDENCIAL;1000080329;b1;;C;1;BRASILIA;DF;03/2016;21.808.288;94.847;14.032.015;-302.795;841.658;1.390.177;37.864.190;-25.449.364;-1.465.291;-55.375;0;-7.136.044;-34.106.074;3.758.116;4.209.496;1.942.094;-5.132.286;-4.061.482;-1.303.789;-631.854;13.207.520;-8.199.937;29.762;3.787.878;-19.416;3.768.462;-1.054.882;-306.469;2.407.111;-646.739
BRADESCO - PRUDENCIAL;1000080075;b1;;C;2;OSASCO;SP;03/2016;17.391.343;573.965;9.751.467;6.428.960;0;1.371.642;35.517.378;-15.743.618;-522.515;-491.516;-225.452;-5.900.739;-22.883.840;12.633.538;3.716.574;2.064.029;-3.313.630;-4.368.308;-1.454.659;-3.254.621;8.957.172;-5.620.280;-3.273.724;9.359.815;61.162;9.420.976;-5.299.256;0;4.121.720;-1.450.979
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;;C;1;BRASILIA;DF;03/2016;20.595.900;0;15.081.562;-4.923.907;0;3.207.435;33.960.990;-22.114.785;-4.063.782;0;-587.389;-3.808.592;-30.574.548;3.386.441;4.173.915;1.157.808;-5.021.483;-2.612.822;-860.586;224.166;3.988.653;-4.368.015;-3.318.363;68.079;-62.963;5.115;689.089;-139.411;554.794;-587.338
SANTANDER - PRUDENCIAL;1000080185;b1;;C;3;SAO PAULO;SP;03/2016;10.706.341;530.210;7.299.592;1.594.943;4.003.583;1.611.934;25.746.602;-11.955.370;-752.813;-437.843;0;-2.704.841;-15.850.867;9.895.735;2.176.347;752.196;-1.780.196;-2.556.551;-1.155.281;14.381;5.756.434;-8.316.662;-5.109.332;4.786.403;32.697;4.819.100;-3.259.428;-320.300;1.239.371;0
BNDES - PRUDENCIAL;1000081847;b4;;C;1;RIO DE JANEIRO;RJ;03/2016;12.940.016;0;6.546.228;1.495.933;43.943;0;21.026.120;-759.604;-10.379.349;0;0;-914.597;-12.053.550;8.972.570;65.330;0;-383.641;-164.425;-238.302;-241.655;4.173.524;-8.871.778;-5.660.947;3.311.623;444.232;3.755.855;-2.157.707;0;1.598.148;0
SAFRA - PRUDENCIAL;1000080109;b1;;C;2;SAO PAULO;SP;03/2016;1.629.306;255.274;3.955.745;266.354;0;53.893;6.160.572;-4.249.352;-186.519;-198.065;-13.771;-376.474;-5.024.180;1.136.392;150.805;73.202;-440.788;-238.791;-101.324;-117.009;561.344;-231.501;-344.063;792.329;-127.359;664.970;-203.465;0;461.505;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;;C;2;RIO DE JANEIRO;RJ;03/2016;664.766;0;2.020.386;2.201.793;596.888;50.812;5.534.645;-2.305.544;-244.199;0;0;-91.951;-2.641.695;2.892.950;708.261;62.595;-609.132;-778.929;-195.680;-707.818;8.922.955;-9.297.726;-1.895.474;997.476;1.037.340;2.034.816;-409.370;-616.937;1.008.510;0
HSBC - PRUDENCIAL;1000080525;b1;;C;3;CURITIBA;PR;03/2016;2.970.963;136.377;1.450.082;-856.697;1.206.958;342.048;5.249.731;-2.812.213;-151.442;-103.580;0;-1.272.080;-4.339.315;910.416;334.753;360.596;-894.990;-1.038.148;-215.245;86.649;704.666;-629.429;-1.291.149;-380.732;-1.809;-382.541;95.912;-578;-287.207;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;;C;2;SAO PAULO;SP;03/2016;3.362.427;46.152;932.573;-197.932;0;3.040;4.146.259;-2.896.334;-62.455;-50.328;-122.982;-162.056;-3.294.155;852.105;117.952;138.688;-341.785;-269.929;-88.440;42.579;802.516;-895.487;-493.905;358.199;-434;357.765;-225.594;-45.960;86.211;0
